Quote,Author
“I take care of my flowers and my cats. And enjoy food. And that’s living.”,Ursula Andress
“A lie is like a cat: You need to stop it before it gets out the door or it’s really hard to catch.”,Charles M. Blow
“That’s the great secret of creativity. You treat ideas like cats: you make them follow you.”,Ray
"“Cats and dogs believe politicians are like cemetery caregivers — they are on top of everyone, but nobody listens.”",Rita Mae Brown
"“My relationships with my cats has saved me from a deadly, pervasive ignorance.”",William S. Burroughs
“Meow” means “woof” in cat.”,George Carlin
"“It is very inconvenient habit of kittens (Alice had once made the remark) that, whatever you say to them they always purr.”",Lewis Carroll
“Cats choose us; we don’t own them.”,Kristin Cast
“Those who’ll play with cats must expect to be scratched.”,Miguel de Cervantes
"“I love cats because I enjoy my home; and little by little, they become its visible soul.”",Jean Cocteau
“Time spent with a cat is never wasted.”,Colette
"“Way down deep, we’re all motivated by the same urges. Cats have the courage to live by them.”",Jim Davis
“What greater gift than the love of a cat?”,Charles Dickens
"“You see, wire telegraph is a kind of a very, very long cat. You pull his tail in New York and his head is meowing in Los Angeles. Do you understand this? And radio operates exactly the same way: you send signals here, they receive them there. The only difference is that there is no cat.”",Albert Einstein
“Making movies is like herding cats.”,Eric Fellner
“A countryman between two lawyers is like a fish between two cats.”,Benjamin Franklin
“Time spent with cats is never wasted.”,Sigmund Freud
"“Cats know how to obtain food without labor, shelter without confinement, and love without penalties.”",Walter Lionel George
“Cats will outsmart dogs every time.”,John Grogan
“How we behave toward cats here below determines our status in heaven.”,Robert A. Heinlein
"“A cat has absolute emotional honesty: human beings, for one reason or another, may hide their feelings, but a cat does not.”",Ernest Hemingway
“She sights a Bird—she chuckles—/She flattens—then she crawls—/She runs without the look of feet—/Her eyes increase to Balls—”,Emily Dickinson
“Cats are connoisseurs of comfort.”,James Herriot
"“If your cat falls out of a tree, go indoors to laugh.”",Patricia Hitchcock
"“If you want to write, keep cats.”",Aldous Huxley
"“A cat can be trusted to purr when she is pleased, which is more than can be said for human beings.”",William Ralph Inge
“Curiosity killed the cat.”,Ben Johnson
“I used to love dogs until I discovered cats.”,Nafisa Joseph
"“Cats, like men, are flatterers.”",Walter Savage Landor
“The smallest feline is a masterpiece.”,Leonardo da Vinci
"“In its flawless grace and superior self-sufficiency I have seen a symbol of the perfect beauty and bland impersonality of the universe itself, objectively considered, and in its air of silent mystery there resides for me all the wonder and fascination of the unknown.”",H.P. Lovecraft
“Artists like cats; soldiers like dogs.”,Desmond Morris
"“Cats do not have to be shown how to have a good time, for they are unfailing ingenious in that respect.”",James Mason
“I regard cats as one of the great joys in the world. I see them as a gift of highest order.”,Trisha McCagh
"“Cats have it all — admiration, an endless sleep, and company only when they want it.”",Rod McKuen
“A dog will flatter you but you have to flatter the cat.”,George Mikes
“People with insufficient personalities are fond of cats. These people adore being ignored.”,Henry Morgan
“Cats possess so many of the same qualities as some people that it is often hard to tell the people and the cats apart.”,P.J. O’Rourke
“You can not look at a sleeping cat and feel tense.”,Jane Pauley
“I wish I could write as mysterious as a cat.”,Edgar Allan Poe
“The problem with cats is that they get the same exact look whether they see a moth or an ax-murderer.”,Paula Poundstone
“There are two means of refuge from the miseries of life: music and cats.”,Albert Schweitzer
“I am as vigilant as a cat to steal cream.”,William Shakespeare
“I have studied many philosophers and many cats. The wisdom of cats is infinitely superior.”,Hippolyte
“I have lived with several Zen masters — all of them cats.”,Eckhart Tolle
"“Of all God’s creatures, there is only one that cannot be made slave of the lash. That one is the cat. If man could be crossed with the cat it would improve the man, but it would deteriorate the cat.”",Mark Twain
Cats are smarter than dogs. You can’t get eight cats to pull a sled through snow.”,Jeff Valdez
"“I believe cats to be spirits come to earth. A cat, I am sure, could walk on a cloud without coming through.”",Jules Verne
“If a dog jumps into your lap it is because he is fond of you; but if a cat does the same thing it is because your lap is warmer.”,A.N. Whitehead
“The phrase ‘domestic cat’ is an oxymoron.”,George Will
